GO_BP	Gene_Size	Gene_List
GO:0006986:response to unfolded protein	52	CHAC1,COMP,DDIT3,DERL1,DNAJA1,DNAJB1,DNAJB2,DNAJB4,DNAJB5,DNAJC4,EDEM2,EDEM3,ERP27,ERP44,FAF2,FBXO6,FICD,HERPUD1,HSP90AA1,HSP90AB1,HSPA13,HSPA14,HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA4,HSPA4L,HSPA5,HSPA6,HSPA7,HSPA8,HSPA9,HSPB1,HSPB2,HSPB3,HSPB7,HSPD1,HSPE1,HSPH1,JKAMP,MANF,MFN2,PIGBOS1,SERPINH1,STT3B,THBS1,THBS4,TMEM129,TOR1B,UBE2J2,UBXN4
GO:0006990:positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	3	CREB3,EP300,XBP1
GO:0006991:response to sterol depletion	2	LYN,PIP4P1
GO:0006995:cellular response to nitrogen starvation	13	ATG5,ATG7,BECN1,BECN2,GABARAP,GABARAPL1,GABARAPL2,GABARAPL3,MAP1LC3A,MAP1LC3B,MAP1LC3B2,MAP1LC3C,NPRL2
GO:0006996:organelle organization	11	ATP2A2,CHGA,GORASP2,HPS3,HPS5,HPS6,KIF25,KIF3A,KIF4A,KIF5C,TOR1A
GO:0006997:nucleus organization	26	ATXN7,BIN1,CEP55,CHMP1A,CHMP1B,CHMP2A,CHMP2B,CHMP3,CHMP4A,CHMP4B,CHMP4C,CHMP5,CHMP6,CHMP7,GOLM1,H3-3A,LEMD3,LRMP,NUMA1,PDCD6IP,PITPNB,PRM2,SYNE1,VPS4A,VPS4B,WDR73
GO:0006998:nuclear envelope organization	17	CTDNEP1,DMPK,LEMD2,NUP155,NUP93,PARP11,REEP3,REEP4,SPAG4,SUN1,SUN2,SUN3,SUN5,TMEM170A,TOR1A,VPS4A,ZMPSTE24
GO:0006999:nuclear pore organization	7	NDC1,NUP133,NUP35,NUP54,NUP98,SEH1L,TPR
GO:0007000:nucleolus organization	5	NOLC1,PES1,RPS19,RRN3,USP36
GO:0007004:telomere maintenance via telomerase	23	A0A1W2PPC4,DKC1,GAR1,HSP90AA1,HSP90AB1,MRE11,NHP2,NOP10,PINX1,POT1,PTGES3,RAD50,RFC1,RPA1,SMG5,SMG6,SMG7,TELO2,TERF1,TERF2IP,TERT,TNKS1BP1,WRAP53
GO:0007005:mitochondrion organization	90	ADGRG6,AFG1L,AGTPBP1,ALAS1,ATAD3A,ATAD3B,ATAD3C,ATP5F1B,ATP7A,BCS1L,CAMKMT,CAV2,CDK5,CEBPA,CEP89,CHCHD10,CHCHD2,CHCHD2P9,CLUH,CXADR,CYCS,DNAJA3,DNM1L,EPAS1,ESRRA,FANCG,FXN,GABPA,GABPB1,GBA,GDAP1,HAX1,HCFC1,HMGCL,HSD17B10,HTRA2,KIF28P,LONP1,LRRK2,MAN2A1,MIEF2,MSTO1,MTERF1,MTFR1,MTFR2,NIPSNAP2,NOS3,NRF1,OPA1,P2RX7,PARK7,PARP1,PHB,PHB2,PINK1,POLG2,POLRMT,PPARGC1A,PPRC1,PRDX3,PRKN,PTCD2,RAB29,RAB32,RAB38,RAB3A,RHOT1,RHOT2,SHARPIN,SIRT3,SIRT4,SIRT5,SLC25A33,SLC25A36,SPG7,SQSTM1,SSBP1,STOML2,TERT,TFAM,TFB1M,TFB2M,TMEM11,TRAFD1,TWNK,VPS13C,VPS13D,WDR81,XAF1,YME1L1
GO:0007006:mitochondrial membrane organization	2	MFN2,TIMM50
GO:0007007:inner mitochondrial membrane organization	18	APOO,APOOL,CHCHD3,CHCHD6,DNAJC11,FAM92A,HSPA9,IMMT,MAIP1,MICOS10,MICOS13,MTX1,MTX2,MTX3,OPA1,SAMM50,TAZ,TMEM11
GO:0007009:plasma membrane organization	23	A4GALT,ANK3,BAIAP2,BAIAP2L1,BAIAP2L2,CAV3,CRB1,DYSF,FAT4,FER1L4,FER1L5,FER1L6,MTSS1,MTSS2,MYOF,OSBPL2,OTOF,SERP1,SLC9A3R1,SPTA1,SPTBN1,TLCD1,TLCD2
GO:0007010:cytoskeleton organization	138	ABI2,ABLIM1,ACTL6B,ACTL7A,ACTL7B,AGRN,AJUBA,ANK1,ANK2,ANK3,APOE,ARAP3,ARC,ARHGAP10,ARHGAP4,BIN1,BRWD1,BRWD3,CAMSAP1,CAPZB,CCDC6,CCL11,CCL13,CCL2,CCL24,CCL3,CCL7,CDC42BPB,CECR2,CFAP410,CFL1,CNN2,CNTNAP1,CSPG5,CTNNA2,CYLC1,CYLC2,DES,DIAPH1,DIAPH3,DMD,DMTN,DPYSL2,DST,EPB42,FGD1,FGD2,FGD3,FGD4,FGD5,FGD6,FITM2,FMNL2,FMNL3,FTCD,GAN,GPR35,HLA-DRB1,KISS1,KLHL20,KRT13,KRT15,KRT16,KRT25,KRT31,KRT4,KRT5,KRT6A,KRT6B,KRT76,KRT84,LARP4,LIMD1,LORICRIN,MAEA,MAP3K20,MARK1,MAST1,MAST2,MAST3,MAST4,MDK,MICAL1,MICAL2,MICAL3,MSN,NCKIPSD,NECTIN2,NEDD9,OBSL1,PACSIN1,PACSIN2,PACSIN3,PADI6,PAK4,PAK5,PAK6,PALLD,PALM,PCLO,PDZD8,PHIP,PLCE1,PLD2,PRKCI,PRPF40A,PSTPIP2,RHOU,SEMA6A,SH3D19,SH3KBP1,SIPA1,SIPA1L3,SOX9,SPTAN1,SPTB,SPTBN1,SPTBN2,SPTBN4,STRIP2,SYNE3,THY1,TLN2,TNFAIP3,TNIK,TPM1,TSPAN32,TUBA3C,TUBA3D,UGT8,WASF3,WTIP,YEATS4,ZMYM3,ZMYM4,ZMYM6,ZNF135,ZRANB1
GO:0007015:actin filament organization	116	ACTC1,ACTN1,ALDOA,ARF1,ARHGAP12,ARHGAP17,ARHGAP25,ARHGEF2,AVIL,BCAR1,BCL2,BIN3,BRK1,CARMIL1,CAV3,CCDC155,CCL11,CD2AP,CDC42,CDC42EP2,CGNL1,CLRN1,CORO1A,CORO1B,CORO1C,CORO6,CORO7,DBN1,DIAPH2,DLG1,ELMO1,ELMO2,ELMO3,EMP2,ERMN,EVL,FAT1,HIP1,HIP1R,INPPL1,KPTN,LMOD1,LMOD2,LMOD3,MAD2L2,MPRIP,MYO15A,MYO19,MYO1A,MYO1B,MYO1C,MYO1D,MYO1E,MYO1F,MYO1G,MYO1H,MYO5A,MYO5B,MYO5C,MYO6,MYO7A,MYO7B,MYOM1,MYOM2,MYOM3,NCK1,NCK2,PACSIN1,PDLIM3,PLA2G1B,POF1B,PPARGC1B,PPP1R9A,PPP1R9B,PRKCI,RAC1,RAC2,RAC3,RHOBTB3,RHOF,RHOG,RHOJ,RHOQ,RHOU,RHOV,RND1,RUFY3,SAMD14,SH3BP1,SH3KBP1,SHROOM1,SHROOM2,SHROOM3,SHROOM4,SORBS2,SORBS3,SPTA1,TF,TMOD1,TMOD2,TMOD3,TMOD4,TMSB10,TMSB15A,TMSB15B,TMSB4X,TMSB4Y,TPM1,TPM2,TPM3,TPM4,TRIOBP,TRPV4,TTN,WHAMM,XIRP1
GO:0007017:microtubule-based process	34	A0A0B4J269,DCTN3,EML4,GTSE1,KIFAP3,MAP3K11,PAFAH1B1,SRRD,TRIM54,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3D,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B,TUBD1,TUBE1,TUBG1,TUBG2,VBP1
GO:0007018:microtubule-based movement	81	ACTR10,BICD2,CENPE,DNAH1,DNAH10,DNAH11,DNAH12,DNAH14,DNAH17,DNAH2,DNAH3,DNAH5,DNAH6,DNAH7,DNAH8,DNAH9,DNAI1,DNAI2,DNAL4,DNHD1,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNC1LI2,DYNC2H1,DYNLRB1,DYNLRB2,KIF11,KIF12,KIF13A,KIF13B,KIF14,KIF15,KIF16B,KIF17,KIF18A,KIF18B,KIF19,KIF1A,KIF1B,KIF1C,KIF20A,KIF20B,KIF21A,KIF21B,KIF22,KIF23,KIF24,KIF25,KIF26A,KIF26B,KIF27,KIF28P,KIF2A,KIF2B,KIF2C,KIF3A,KIF3B,KIF3C,KIF4A,KIF4B,KIF5A,KIF5B,KIF5C,KIF6,KIF7,KIF9,KIFAP3,KIFC1,KIFC2,KIFC3,KLC1,KLC2,KTN1,RACGAP1,STARD9,WDR34,WDR60,WDR63,WDR78
GO:0007019:microtubule depolymerization	16	CKAP5,KATNB1,KIF14,KIF18A,KIF18B,KIF24,KIF2A,KIF2B,KIF2C,NCKAP5,NCKAP5L,STMN1,STMN2,STMN3,STMN4,STMND1
GO:0007020:microtubule nucleation	18	AKAP9,CENPJ,CLASP1,CLASP2,CSNK1D,GOLGA2,NDE1,NDEL1,RANBP9,SLAIN2,TPX2,TUBG1,TUBG2,TUBGCP2,TUBGCP3,TUBGCP4,TUBGCP5,TUBGCP6
GO:0007021:tubulin complex assembly	9	ARL2,CRYAB,TBCA,TBCC,TBCD,TBCE,TBCEL,TCP1,VBP1
GO:0007023:post-chaperonin tubulin folding pathway	6	RP2,TBCA,TBCC,TBCD,TBCE,TBCEL
GO:0007026:negative regulation of microtubule depolymerization	28	APC,APC2,ARHGEF2,ATXN7,BMERB1,CAMSAP1,CAMSAP2,CAMSAP3,CIB1,CKAP2,CLASP1,CLASP2,FGF13,H3BNH8,HDAC6,HDGFL3,KATNB1,MAP1B,MAP6D1,MID1,MID1IP1,NAV3,SPEF1,STMN2,TAOK1,TPX2,TRIM54,TTBK2
GO:0007028:cytoplasm organization	4	KIF5B,PADI6,RRN3,TFCP2L1
GO:0007029:endoplasmic reticulum organization	36	ATL1,ATL2,ATL3,BNIP1,CASQ1,CAV2,CCDC47,CERT1,DNM1L,DOP1B,EIF2AK3,GAK,JAGN1,LMAN1,LMAN1L,LMAN2,LMAN2L,LNPK,LRRK2,MAPK15,MIA3,RNF112,SEC16A,SEC16B,SEC31A,SEC31B,SEC61A1,SMPD4,SPTSSB,TMCC1,TMEM38A,TMEM38B,TOR1AIP2,TOR1B,VAPA,VAPB
GO:0007030:Golgi organization	119	ARFGEF1,ARHGAP21,ARHGEF7,ARL1,ATL2,ATL3,ATP8B1,ATP8B2,ATP8B3,ATP8B4,BAG5,BCAS3,BHLHA15,BLZF1,CDC42,CLASP1,CLASP2,COG1,COG2,COG3,COG4,COG7,CSNK1A1,CSNK1D,CUL7,DNAJC28,DYM,DYNC2H1,E9PAM4,FAM174B,FBXW8,GAK,GBF1,GOLGA2,GOLGA5,GOLGA6A,GOLGA6B,GOLGA6C,GOLGA6D,GOLGA8A,GOLGA8B,GOLGA8CP,GOLGA8DP,GOLGA8F,GOLGA8H,GOLGA8IP,GOLGA8J,GOLGA8K,GOLGA8M,GOLGA8N,GOLGA8O,GOLGA8Q,GOLGA8R,GOLGA8S,GOLGA8T,GOLGB1,GOLPH3,GOLPH3L,GORASP1,GORASP2,HACE1,HIKESHI,HOOK1,HTT,J3KT08,KIFC3,LMAN1,LMAN1L,LMAN2,LMAN2L,LRRK2,LYSMD3,MYO18A,NPLOC4,NSFL1C,OBSL1,OPTN,PI4K2A,PI4K2B,PLEKHM2,PRKD1,RAB1A,RAB29,RAB2A,RAB30,RAB43,SEC16A,SEC16B,SEC23IP,SPTBN5,STX17,SURF4,SYNE1,TANGO2,TBC1D20,TICAM2,TJAP1,TMED1,TMED10,TMED2,TMED3,TMED4,TMED5,TMED6,TMED7,TMED7-TICAM2,TMED9,TRAPPC11,TRAPPC12,TRAPPC8,UBXN2A,UBXN2B,USO1,USP6NL,VMP1,VPS51,ZFP69B,ZNF501,ZW10
GO:0007031:peroxisome organization	18	ABCD1,ABCD3,LONP2,PEX1,PEX10,PEX11A,PEX11B,PEX12,PEX14,PEX16,PEX19,PEX2,PEX3,PEX6,PEX7,PLAAT3,SEC16B,TMEM135
GO:0007032:endosome organization	39	AKTIP,ALS2,ALS2CL,ANXA8,ANXA8L1,ARFGEF2,CHMP2B,DNAJC13,DNM1,E9PAM4,EXOC8,FAM160A2,HOOK1,HOOK2,HOOK3,LAMTOR1,LAPTM4B,PHETA1,PHETA2,PI4K2A,PI4K2B,PIK3C3,PLEKHF1,PLEKHJ1,RAB22A,RAB5B,RNF26,SNX10,SNX33,SQSTM1,STX6,TMEM127,USP50,USP8,VPS11,VPS18,VPS33B,WASH3P,WASHC4
GO:0007033:vacuole organization	9	FIG4,I3L4J1,MAN2A1,NDP,VPS11,VPS16,VPS18,VPS4A,VPS4B
GO:0007034:vacuolar transport	4	ATP6V0D1,ATP6V0D2,NDFIP1,NDFIP2
GO:0007035:vacuolar acidification	14	ATP6V0A1,ATP6V0A2,ATP6V0A4,ATP6V0D1,ATP6V0D2,ATP6V0E1,ATP6V0E2,ATP6V1H,CLIC4,DMXL1,DMXL2,ROGDI,SLC11A1,TCIRG1
GO:0007039:protein catabolic process in the vacuole	2	CPA2,TCIRG1
GO:0007040:lysosome organization	41	A0A1B0GWJ7,ABCA1,ACP2,AKTIP,AP3B1,ARSB,CHMP5,CLN3,CLN5,CLN6,CLVS1,CLVS2,FAM160A2,GAA,GBA,GNPTAB,GRN,HEXB,HOOK1,HOOK2,HOOK3,HPS1,HPS4,LAMTOR1,LRRK2,LYST,MBTPS1,MFSD8,MTOR,MYO7A,NAGLU,NAGPA,SNAPIN,TFEB,TMEM106B,TPCN2,TPP1,VPS18,VPS35,WASHC5,ZKSCAN3
GO:0007041:lysosomal transport	20	ALS2,ARSB,ATP13A2,GRN,HGSNAT,HSPA1A,IGF2R,LRP1,M6PR,NEDD4,NPC1,PCSK9,PSAP,SPTBN5,TMEM106B,USE1,VPS51,VPS52,VPS53,VPS54
GO:0007042:lysosomal lumen acidification	8	CCDC115,CLN3,CLN5,CLN6,GRN,PPT1,SNAPIN,TMEM199
GO:0007043:cell-cell junction assembly	43	ARVCF,CDH1,CDH10,CDH11,CDH12,CDH13,CDH15,CDH17,CDH18,CDH19,CDH2,CDH23,CDH24,CDH26,CDH3,CDH4,CDH5,CDH6,CDH7,CDH8,CDH9,CDHR3,CLDN5,CTNND1,CTNND2,DSG1,FLCN,FSCN1,GJA4,GJC1,HDAC7,HEG1,LIM2,NR1H4,PARD6B,PKP1,PKP2,PKP3,PKP4,TJP1,TLN1,TLN2,TRPV4
GO:0007044:cell-substrate junction assembly	5	FN1,ITGA5,ITGA6,TLN1,TNS1
GO:0007049:cell cycle	247	ACTR8,AHCTF1,AHR,ANAPC10,ANAPC13,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,APEX2,APPL1,APPL2,ARF6,ARL8A,ARL8B,AVPI1,BABAM1,BABAM2,BANP,BEX2,BIRC6,BLCAP,BOD1L2,BRCC3,BRD7,CABLES1,CABLES2,CAMK1,CASP8AP2,CCAR1,CCAR2,CCDC124,CCNDBP1,CCNK,CCNT1,CCNT2,CCPG1,CCSAP,CD2AP,CDC26,CDC73,CDCA2,CDCA3,CDK20,CDK2AP1,CENPV,CHAF1A,CHAF1B,CHEK1,CHTF18,CINP,CLTA,CREBL2,CSNK1A1,CSNK2A1,CSNK2A2,CTCFL,CUZD1,CYLD,DAB2IP,DBF4B,DCDC1,DCLRE1A,DMTF1,DYNC1LI1,DYNLT3,DYRK3,E2F2,EID1,ENTR1,EPB41,EPB41L2,ERCC6L,ERH,EVI5,FAM107A,FAM32A,FANCI,FIGN,FSD1,FZR1,GAK,GMNC,GNAI1,GNAI2,GNAI3,GPER1,GSPT2,HACE1,HCFC1,HELLS,HJURP,HMCN1,HMG20B,HNRNPU,IKZF1,ING1,INSM1,ITGB3BP,KATNA1,KCTD11,KIF13A,KLHL13,KLHL18,KLHL21,KLHL42,KLHL9,KLK10,KMT5A,KRT18,LIG3,LIG4,LIN54,LIN9,LMLN,LRRCC1,MAEA,MAP3K8,MAPK1,MAPK13,MAPK3,MAPK4,MAPK6,MAPK7,MARK4,MARVELD1,MCIDAS,MCTS1,MICAL3,MIS18A,MIS18BP1,MKI67,MPLKIP,MRPL41,MYOG,NCAPG2,NEDD9,NEK1,NR3C1,NSMCE2,NUDC,NUP37,NUP43,OIP5,PAK4,PARD3,PARD3B,PCNP,PDCD2L,PELO,PIK3C3,PIM1,PIM3,PIMREG,PIN1,PKN2,PLK5,PMF1,POC5,PPP1CA,PPP1CC,PPP1R1C,PRKCD,PRKCE,PRPF40A,PRR5,PSME3,PTP4A1,PYHIN1,RAB11FIP3,RABGAP1,RACK1,RAE1,RALA,RALB,RASSF2,RASSF4,RB1CC1,RBBP4,RBL1,RBM38,RCBTB1,RCC2,RFPL1,RGS2,RHNO1,RIF1,RINT1,RIOK2,RNF8,RPS6KA1,RPS6KA3,RUVBL1,SDE2,SENP5,SIAH1,SIAH2,SIK1,SMARCB1,SPAG8,SPC24,SPDYC,SPECC1L,SPIN2A,SPIN2B,SPOUT1,SRC,STEAP3,STK10,STOX1,SUV39H1,SUV39H2,TAF1,TENT4B,TERF2,TET2,THAP1,THAP5,TLK1,TLK2,TM4SF5,TMPRSS11A,TP53BP2,TRIM21,TRIOBP,TRNP1,TSPYL2,TTC28,TUSC2,TXLNG,TXNIP,TXNL4A,TXNL4B,UBE2I,UHRF1,UHRF2,URGCP,USP2,USP22,USP39,USP44,USP9X,WTAP,ZC3HC1,ZMYND11,ZNF16
GO:0007050:cell cycle arrest	131	ABL1,APBB1,APBB2,APC,ATM,BARD1,BRINP1,BRINP2,BRINP3,BTG4,CAB39,CAB39L,CDC123,CDK6,CDK7,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CDKN2D,CDKN3,CGREF1,CGRRF1,CXCL8,DDIT3,DHCR24,EIF2AK4,EIF4G2,ERN1,ERN2,FOXO4,GADD45A,GAS1,GAS2,GAS2L1,GAS7,HBP1,HEPACAM,HRAS,IFNG,IFNW1,IL12A,IL12B,ILK,ING4,INHA,INHBA,IRF1,IRF6,JMY,KAT2B,KIF20B,KLLN,KMT2E,LAMTOR1,LAMTOR2,LAMTOR3,LAMTOR4,LAMTOR5,MAP2K1,MAP2K6,MAP3K20,MAPK12,MFN2,MLF1,MLST8,MSH2,MTBP,MTOR,MYC,NBN,NOTCH1,NOTCH2,NUPR2,PKD1,PKD2,PLAGL1,PML,PPM1A,PPM1G,PPP1R15A,PPP1R9B,PPP2R3B,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3,PRNP,PRR11,RASSF1,RB1,RHEB,RNF112,RPRM,RPTOR,RRAGA,RRAGB,RRAGC,RRAGD,SGSM3,SKIL,SLC38A9,SMAD3,SOX2,STK11,STRADA,STRADB,TBRG1,TBRG4,TCF7L2,TGFB1,TGFB2,TGFBR1,THBS1,TP53,TP53INP1,TP73,TSG101,UHMK1,VASH1,WDR6,WHAMM,WHAMMP3,WNT10B,ZBTB49,ZFHX3
GO:0007051:spindle organization	16	ASPM,AUNIP,AURKA,AURKB,CEP72,CHD3,CKAP5,KIF11,KIZ,KNSTRN,NTMT1,RGS14,SPAG5,TRIM36,TTK,UVRAG
GO:0007052:mitotic spindle organization	46	AURKA,AURKB,AURKC,BCCIP,CCNB1,CENPE,CENPH,CEP126,CKAP5,CLASP1,CLASP2,DCTN2,DYNC1H1,EFHC1,EML1,GPSM2,INTS13,KIF11,KIF2A,KIF3B,KIF4A,KIF4B,MAP4,MECP2,NDC80,NUF2,PCNT,PLK2,POC1A,PTPA,RAN,RCC1,SBDS,SPC25,STIL,STMN1,SUN2,TACC1,TACC2,TACC3,TBCE,TNKS,TTK,TUBG1,TUBG2,WDR62
GO:0007057:spindle assembly involved in female meiosis I	2	AURKA,FBXO5
GO:0007059:chromosome segregation	73	ABRAXAS2,ARL8A,ARL8B,BANF1,BANF2,BEX4,BIRC5,BRCA1,CDCA2,CDK5RAP2,CDT1,CENPC,CENPE,CENPF,CENPH,CENPN,CENPT,CENPW,CEP85,CIAO1,CIAO2A,CIAO2B,CTCF,DDX3X,ERCC2,HJURP,INCENP,KNSTRN,MIS12,MIS18A,MMS19,NAA60,NDC80,NDE1,NDEL1,NEK11,NEK2,NEK6,NEK8,NR3C1,NTMT1,NUF2,NUMA1,NUP37,NUP43,OIP5,PHF13,PMF1,PMF1-BGLAP,PPP2R1A,RCC1,RGS14,RIOK3,RPS3,SETDB2,SGO1,SKA1,SKA2,SKA3,SLC25A5,SPAG5,SPC25,SRPK1,TLK1,TLK2,TOP1,TOP2A,TOP3B,TTK,UBE2I,USP44,USP9X,UVRAG
GO:0007060:male meiosis chromosome segregation	3	MEIKIN,MLH1,TEX11
GO:0007062:sister chromatid cohesion	26	DDX11,ESCO1,ESCO2,FBXW7,HDAC8,KIF22,MCMBP,MRE11,PHB2,PLK1,RAD21,RAD21L1,RAD51C,REC8,SMC1A,SMC1B,SMC3,SMC5,STAG1,STAG2,STAG3,STAG3L1,STAG3L2,STAG3L3,STAG3L4,TENT4A
GO:0007064:mitotic sister chromatid cohesion	10	CDC20,CDCA5,CHTF8,HASPIN,NAA50,NIPBL,PDS5A,PDS5B,POGZ,SMC1A
GO:0007076:mitotic chromosome condensation	16	AKAP8,AKAP8L,CDCA5,CHMP1A,NCAPD2,NCAPD3,NCAPG,NCAPH,NCAPH2,NIPBL,NUSAP1,PHF13,SMC2,SMC4,TENT4A,TTN
GO:0007077:mitotic nuclear envelope disassembly	12	CCNB1,CCNB2,CDK1,CNEP1R1,CTDNEP1,LPIN1,NEK6,NEK9,PLK1,PRKCA,PRKCB,VRK1
GO:0007079:mitotic chromosome movement towards spindle pole	4	CENPE,DLGAP5,KATNB1,KPNB1
GO:0007080:mitotic metaphase plate congression	40	ANKRD53,BECN1,BOD1,CCNB1,CDC23,CDCA5,CDCA8,CENPE,CEP55,CHMP1A,CHMP1B,CHMP2A,CHMP2B,CHMP3,CHMP4A,CHMP4B,CHMP4C,CHMP5,CHMP6,CHMP7,CUL3,DCTN2,KIF14,KIF18A,KIF22,KIF2C,KIFC1,KPNB1,NUP62,PDCD6IP,PIBF1,PINX1,PSRC1,RAB11A,RRS1,SEH1L,SPDL1,VPS4A,VPS4B,ZW10
GO:0007084:mitotic nuclear envelope reassembly	10	ANKLE2,BANF1,EMD,LMNA,PPP2CA,PPP2R1A,PPP2R2A,REEP3,REEP4,VRK1
GO:0007088:regulation of mitotic nuclear division	23	BORA,CAV2,CCDC8,CDC25C,CDC42,CDK13,CUL7,CUL9,DAPK3,FBXO43,FBXO5,FBXW5,KIF20B,L3MBTL1,MKI67,NEK2,NFE2L1,OBSL1,PDXP,PIN1,PKMYT1,PRMT5,RCC1
GO:0007089:traversing start control point of mitotic cell cycle	4	CDC6,CDK10,MDM2,MTBP
GO:0007091:metaphase/anaphase transition of mitotic cell cycle	6	ANAPC1,ANAPC7,CDC16,CDC23,CDC27,TACC3
GO:0007093:mitotic cell cycle checkpoint	31	BCL2L1,BUB1,BUB1B,CDKN2B,CHFR,DCLRE1B,DLG1,HRAS,INTS3,KNTC1,MAD1L1,MAD2L1,MAD2L1BP,MAP3K20,NABP1,NABP2,NBN,PLK2,PLK3,PRCC,RAD17,RB1,TGFB1,TICRR,USP17L2,WEE1,WEE2,WNT9A,ZW10,ZWILCH,ZWINT
GO:0007094:mitotic spindle assembly checkpoint	24	APC,ATM,AURKB,BUB1,BUB1B,BUB3,CDC20,CENPF,H7BYZ3,H7BZZ5,IK,KLHL22,MAD1L1,MAD2L1,MAD2L2,PLK1,PSMG2,SPDL1,TEX14,TPR,TRIP13,TTK,ZNF207,ZW10
GO:0007095:mitotic G2 DNA damage checkpoint	20	BLM,BRSK1,CDK1,CDK5RAP3,CDKN1A,CLSPN,DONSON,FOXN3,FOXO4,HMGA2,MRE11,MRNIP,NBN,NOP53,SYF2,TAOK1,TAOK2,TAOK3,TOPBP1,TRIM39
GO:0007096:regulation of exit from mitosis	12	ANLN,CDC14A,CDC14B,CDC14C,CDC23,CDKN1B,KNTC1,MAD2L1BP,NPM2,PPP1R9B,SIRT2,ZW10
GO:0007097:nuclear migration	15	CDC42,CLMN,DCTN1,DYNC1H1,FHOD1,MYH10,NTN1,PAFAH1B1,PTK2,SLC9A3R1,SLIT1,SUN2,SYNE2,SYNE3,TBCB
GO:0007098:centrosome cycle	41	ARL2,BBS4,BRCA1,CDK1,CDK5RAP2,CEP120,CEP68,CETN3,CHD3,CKAP5,CROCC,FES,G3V2T6,GADD45A,GOLGA2,HAUS1,HAUS2,HAUS3,HAUS4,HAUS5,HAUS6,HAUS7,HAUS8,HEPACAM2,KIAA1614,NPM1,NUP62,PARD6A,PARD6B,PARD6G,PCLAF,PCM1,PLK1,PPP1R12A,SDCCAG8,SLC16A1,SSX2IP,TUBE1,UVRAG,UXT,XRCC2
GO:0007099:centriole replication	18	CCP110,CDK2,CDK5RAP2,CENPJ,CEP135,CEP152,CEP63,CEP72,CETN1,CETN2,CNTROB,DEUP1,KIAA0753,OFD1,PLK4,RTTN,SASS6,WDR62
GO:0007100:mitotic centrosome separation	6	AURKA,KIF11,KIF3B,NDE1,NDEL1,NUP62
GO:0007113:endomitotic cell cycle	3	CIB1,PLK3,UBA3
GO:0007127:meiosis I	6	BCL2L11,CKS2,M1AP,MEI1,PSMD13,SPANXA2-OT1
GO:0007129:synapsis	26	ANKRD31,CCDC155,CCDC36,CCNE1,CCNE2,DMC1,FANCD2,MAEL,MAJIN,MEI4,MEIOB,MLH1,MRE11,MSH4,NDC1,PRDM9,RNF212,RNF212B,SIRT7,SIX6OS1,SPATA22,SUN1,SYCP1,TERB1,TERB2,TEX15
GO:0007130:synaptonemal complex assembly	20	AGO4,BAG6,HORMAD1,MCMDC2,MEIOC,MLH3,P3H4,RAD21L1,REC8,SPO11,STAG3,SYCE1,SYCE1L,SYCE2,SYCE3,SYCP1,SYCP2,TEX11,TEX12,TRIP13
GO:0007131:reciprocal meiotic recombination	30	ATM,CCNB1IP1,CNTD1,DMC1,KLHDC3,MLH3,MND1,MRE11,MSH3,MSH4,MSH5,PSMC3IP,RAD21,RAD50,RAD51,RAD51B,RAD51C,RAD51D,RAD54B,RAD54L,REC8,RNF212,SPO11,SYCE3,SYCP1,TEX11,TEX19,TOP6BL,TRIP13,UBR2
GO:0007140:male meiotic nuclear division	24	AGO4,ASZ1,ATM,BRDT,CATSPERZ,CYP26B1,DDX4,FANCA,FIGNL1,HSPA2,KIF18A,MAEL,MEIOB,MLH3,SPDYA,SYCP2,TAF1L,TDRD12,TDRD9,TDRKH,TEX14,TEX15,TEX19,UBR2
GO:0007141:male meiosis I	24	BRCA2,BRDT,BTBD18,CCNA1,DDX4,DMC1,DMRTC2,DNMT3L,HSPA2,ING2,MEI1,MEIOB,MEIOC,MOV10L1,MYBL1,RAD51C,REC8,SLC2A8,SPO11,SYCP3,TDRD9,TRIP13,UBB,UBR2
GO:0007143:female meiotic nuclear division	9	ATM,EREG,HSF1,MARF1,PPP2R1A,PRKAR1A,SYCP2,TOP2A,WEE2
GO:0007144:female meiosis I	6	CDC25B,MEIOB,MEIOC,MLH3,TRIP13,UBB
GO:0007147:female meiosis II	2	DAZL,MASTL
GO:0007154:cell communication	18	ANG,CCL16,CCL18,CCL19,ENPP5,FRAS1,FREM1,FREM2,FREM3,GJD3,KREMEN1,NF1,NRG1,OIP5,SLC8A2,SLC8A3,SNTG1,TRIP10
